(会心対応),の攻撃！,
1335,パワースクリーム,大声で叫び、敵全体を確率でスタンさせる。,はパワースクリームを放った！,
1336,,,,
1337,攻撃イカ,敵単体にダメージを与える。
(会心対応),の攻撃！,
1338,メイルストリーム,,はメイルストリームを放った！,
1339,,,,
1340,エムサクション,,はエムサクションを唱えた！,
1341,攻撃イカ,敵単体にダメージを与える。
(会心対応),の攻撃！,
1342,,,,
1343,追撃魔法,,\C[6]20% 追撃スキル発動！,
1344,メイルストリーム,,はメイルストリームを放った！,
1345,,,,
1346,SPｽｷﾙ【スピードキュア】,馬鹿、被ダメ倍加 以外の異常ステートを回復する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:4】,はスピードキュアを唱えた！,
1347,God of tyow-ken,\C[10]-ｺﾞｯﾄﾞ･ｵﾌﾞ･ﾀｲﾖｳｹﾝ- 
くそ強い攻撃。発動前にマジ覚突入する。,「は？,
1348,Chevalier de el dorado,\C[10]-ｼｭｳﾞｧﾘｴ･ﾃﾞ･ｴﾙ･ﾄﾞﾗﾄﾞ-
神速の剣技で邪を打ち祓い、サルバト・レイでダメ押し,「この剣で正を顕す・・・！！,
1349,サルバト・レイ2,敵単体に渾身の目からビーム!!
使用後、自身の攻撃力が上昇する。,「仕舞いだ！！,
1350,レクイエスファンタ,敵単体にダメージを与える。
(会心対応),はレクイエスファンタを放った！,
1351,マイドニックteki,敵単体にダメージを与える。
(会心対応),はマイドニック・ノヴァを放った！,
1352,バフキエールteki,,はバフキエールを放った！,
1353,バフキエールteki,,はバフキエールを放った！,
1354,超越攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1355,瞑想,敵単体にダメージを与える。
(会心対応),は瞑想した！,
1356,アポカリプス,敵単体にダメージを与える。
(会心対応),のアポカリプス！！,
1357,敏捷ゼロ,敵単体にダメージを与える。
(会心対応),はヴォイドスローを唱えた！,
1358,ザッパー,華麗なる乱舞で四段攻撃を放つ。,はアニサキスザッパーを放った！,
1359,ｽｺｰﾙ,病原菌を敵全体にばら撒く。確率でインフルにする。
APPを多く取得できる。,のフューネラルスコール！,
1360,アブソリュート・ゲロ,暗黒の力で全体攻撃。自身がインフルの時威力2倍
発動後、状態異常を回復する。\C[21]【ｸｰﾙﾀｲﾑ:3】,の瞳から閃光がほとばしる！,
1361,アブゲロ2,暗黒の力で全体攻撃。自身がインフルの時威力2倍
発動後、状態異常を回復する。\C[21]【ｸｰﾙﾀｲﾑ:3】,,
1362,あぶゲロ3,暗黒の力で全体攻撃。自身がインフルの時威力2倍
発動後、状態異常を回復する。\C[21]【ｸｰﾙﾀｲﾑ:3】,のアブソリュート・ゲロ！！,
1363,マジ覚,,のチカラが増幅する・・・！,
1364,太陽圏,,,
1365,太陽拳マジ覚,,,
1366,,,,
1367,,,,
1368,ケツ穴,ガトリングを敵全体にぶっぱなす,はケツ穴ガトリングを放った！,
1369,ショコラ,最大火力で敵一体に集中砲火　確率でスタンさせる
\C[21]【ｸｰﾙﾀｲﾑ:1】,はショコラパニッシャーを放った！,
1370,カオスマトリシカ,ランダムに三発 雷撃を叩き込む。,はカオスマトリシカを放った！,
1371,,,,
1372,ボンバー,空気に触れると爆発する魔剤を敵全体に投げつける
高確率でヤク漬けにする。,はシュガシュガボンバーを放った！,
1373,シュガビーム,ありったけの魔剤を敵全体に投げつける。
確率でヤク漬けにする。,はシュガシュガビームを放った！,
1374,バフキエール,,はバフキエールを放った！,
1375,地異,,の天変地異！,
1376,天誅,,の無双天誅！！,
1377,アポカリプス,敵単体にダメージを与える。
(会心対応),のアポカリプス！！,
1378,超越攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1379,,,,
1380,マシンガン,敵を選ばず怒涛の五連撃。,はラヴ・マシンガンを放った！,
1381,ストライク,敵一体をボコボコにする。
確率で怯ませる。,はラヴ・ストライクを放った！,
1382,ヴィジョン,3ターン自身の会心率と回避率を底上げし、
MPの消費量が半分になる。\C[21]【ｸｰﾙﾀｲﾑ:8】,はヴィジョンに突入した！,
1383,超越攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1384,,,,
1385,バランガ,若干使える氷の魔法とラーメンで攻撃。
相手の防御力を下げる事がある。,はニトロバランガを放った！,
1386,カッター,,はバリバリカッターを放った！,
1387,ｱｯﾌﾟﾙ,味方全員に自動HP回復の能力を付与する。
【使用者除外】,のﾌｨﾌﾃｨｰﾝ･ｱｯﾌﾟﾙ！,
1388,,,,
1389,レイン,大量の色鉛筆が敵全体に降り注ぐ。
確率でヤク漬にする。,はシリンジスコールを放った！,
1390,サイコリーパー,敵一体に無数の色鉛筆と鋏で怒涛の攻撃。
会心が出やすく、斬りつけた相手の防御力を下げる。,はサイコリーパーを放った！,
1391,,,,
1392,インパクト,響き渡る低音を叩き付け、MPを回復する。
確率で頭痛にする。,はウーファーインパクトを放った！,
1393,スピードコア,敵全員に自慢のKickを味わわせる。
APPを多く取得できる。,はワンショットフロアを放った！,
1394,パーリ―,夢のオンステージで敵全体を攻撃し、HPを回復する。
ロボットは確率で故障する。\C[21]【ｸｰﾙﾀｲﾑ:1】,のグロウルパーリー！,
1395,,,,
1396,エッフェル,鮮やかな剣技で敵一体を攻撃。
確率で怯ませる。,はエッフェルソードを放った！,
1397,ダンシング,敵を選ばず華麗な五連撃。,のダンシングルンバ！,
1398,サルバト,敵単体に渾身の目からビーム!!
使用後、自身の攻撃力が上昇する。,はサルバト・レイを放った！,
1399,反撃,敵単体に渾身の目からビーム!!
使用後、自身の攻撃力が上昇する。,はサルバト・レイを放った！,
1400,,,,
1401,慢心,旋風を発生させ、当たれば会心の一撃。,の狙いすました一撃！,
1402,アンコール,鼓膜を劈く常軌を逸脱した声量で敵を吹き飛とばす。
稀に相手の防御力を0にする\C[21]【ｸｰﾙﾀｲﾑ:1】,のアンコールバグ！,
1403,クソババア,チャクラムを砂嵐の力で旋回させ敵一体にダメージ。
確率で相手の防御力を下げる。,はふっざけんなよクソババアを放った！,
1404,tyouetu 撃破,,超越者をたおした！,
1405,,,,
1406,詠唱,次のターンに唱える攻撃魔法の威力が跳ね上がる。
MPが小回復するが詠唱中は防御力が0になる。,は詠唱した！,
1407,スター,敵全体に魔法陣を展開し強力な魔法攻撃。,はメルヘンズ・スターを唱えた！,
1408,ライトニング,敵一体に強力な魔法攻撃。,はロリア・ライトニングを唱えた！,
1409,,,,
1410,スラスト,敵一体にスラスターの推力を活かした四連撃を行う。,はヌサクソスラストを放った！,
1411,ジェノサイド,大事なところを貫き、当たれば会心の一撃。,の狙いすました一撃！,
1412,サンバスター,機械槍から鉄壁を貫通する超出力の粒子砲を発射！
\C[21]【ｸｰﾙﾀｲﾑ:6】,のパンツサンバスター！！,
1413,プロテクション,使用ターンの間、味方全員を鉄壁状態にする。
\C[21]【ｸｰﾙﾀｲﾑ:3】\C[0]【先制発動】 ,はエッチプロテクションを唱えた！,
1414,アポカリプス,敵単体にダメージを与える。
(会心対応),のアポカリプス！！,
1415,カウンター,メタルボディにダメージを与える。,はスケベポリスチレンを放った！,
1416,パンツラッシュ,敵を選ばず危険な五連撃。,はブカブカパンツラッシュを放った！,
1417,ボンボコ,適当に殺す。当たれば会心の一撃。,の狙いすました一撃！,
1418,サイクロン,荒川自身が竜巻となり 敵全体を切り刻む。
ピンチ状態の時に威力が上昇する。,はオスシサイクロンを放った！,
1419,バスタード,敵味方全員に 超ダメージを叩き込む。
命中率が低い。,はエゴバスタードを放った！,
1420,ブッコロスマッシュ,力任せに敵全体を斧で薙ぎ払う。
APPを多く回収できる。,はブッコロスマッシュを放った！,
1421,ジャッジメント,聖なる十字架を掲げ 敵全体に光の奔流
防御力無視の攻撃 \C[21]【ｸｰﾙﾀｲﾑ:1】,のクタバレボリューション！,
1422,,,,
1423,断罪,反撃可能の攻撃を受けると会心で反撃
【先制発動】,は断罪剣の構えをとった！,
1424,鍵穴,斬りつけた相手の防御を下げることがある,は秘剣・鍵穴を放った！,
1425,連鎖,ランダムに三度 斬撃を叩き込む。,は呼無葬連鎖を放った！,
1426,カウンター,メタルボディにダメージを与える。,はスケベポリスチレンを放った！,
1427,虚無,当たれば そのターンの間 相手の 防御力が 0になる
確定会心【先制発動】 ,の狙いすました一撃！,
1428,,,,
1429,ホミング,ランダムに三発 光線を放つ。
\C[21]【ｸｰﾙﾀｲﾑ:2】,はホミングサンダーを放った！,
1430,ボルテックス,ほとばしる雷撃で敵を裂く。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:2】,の咆哮と共に雷撃がほとばしる！,
1431,レクイエス,敵単体にダメージを与える。
(会心対応),はレクイエスファンタを放った！,
1432,マイドニック,敵単体にダメージを与える。
(会心対応),はマイドニック・ノヴァを放った！,
1433,ストップ,確率で敵一体の回復能力を消し去る。,はストップヒールを放った！,
1434,EXカウンター,5ターン自身の会心率と回避率を底上げし、
MPの消費量が半分になる。,はEXカウンターを唱えた！,
1435,,,,
1436,凍結2,,の絶対零度！,
1437,六道輪廻2,,の六道輪廻！,
1438,二人ランダム,,の呪術が襲う！,
1439,,,,
1440,Lv.1  見切,回避率+3%,,
1441,Lv.2 見切,回避率+3%,,
1442,Lv.3 見切,回避率+3%,,
1443,Lv.1  血行,回復効果+6%,,
1444,Lv.2 血行,回復効果+6%,,
1445,Lv.3 血行,回復効果+6%,,
1446,Lv.1  免疫,状態異常抵抗+15%,,
1447,Lv.2 免疫,状態異常抵抗+15%,,
1448,Lv.3 免疫,状態異常抵抗+15%,,
1449,Lv.1  鬼神,マジ覚時 会心率+8%,,
1450,Lv.2 鬼神,マジ覚時 会心率+8%,,
1451,Lv.3 鬼神,マジ覚時 会心率+8%,,
1452,Lv.1  修羅,即殺効果+2%,,
1453,Lv.2 修羅,即殺効果+2%,,
1454,Lv.3 修羅,即殺効果+2%,,
1455,,,,
1456,,,,
1457,SPｽｷﾙ【ｷﾞﾘｷﾞﾘｺﾝﾎﾟｰｽﾞ】,確率で大ﾀﾞﾒｰｼﾞor死　エキサイト中は確定で成功！
【魔:\I[6120]】【即発動】\C[21]【ｸｰﾙﾀｲﾑ:4】 ,のギリギリコンポーズ！,
1458,曲完成,,は曲を完成させた！,
1459,死,,「引退します,
1460,曲失敗,,は納期に間に合わなかった！,
1461,自動修復,,の自動修復システム！,
1462,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
1463,マイドニックジェネシス,,のマイドニックジェネシス！,
1464,マイドニックジェネシス,,,
1465,,,,
1466,ウルシーラ,,はウルシーラを唱えた！,
1467,チップソー,敵単体にダメージを与える。
(会心対応),のチップソーが切り刻む！,
1468,,,,
1469,モロモロイ,敵全体の防御力を下げる。,はモロモロイを唱えた！,
1470,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1471,,,,
1472,攻撃ヘルハウンド,敵単体にダメージを与える。
(会心対応),の攻撃！,
1473,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1474,,,,
1475,,,,
1476,エビルダイブ,,のエビルダイブ！,
1477,チップソー,敵単体にダメージを与える。
(会心対応),のチップソーが切り刻む！,
1478,,,,
1479,MM3支援,敵単体にダメージを与える。
(会心対応),の攻撃！,
1480,,,,
1481,SPｽｷﾙ【まじかる☆ﾋﾞｯｸﾞﾊﾞﾝ】,やっつける
【物:\I[6120]】【即発動】\C[21]【ｸｰﾙﾀｲﾑ:5】,はまじかる☆ビッグバンを唱えた！,
1482,☆ビックバン,,「いやそんなに見ないでくださいよ笑,
1483,,,,
1484,インベーダー攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1485,バチチ攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1486,バチチ攻撃2,敵単体にダメージを与える。
(会心対応),の攻撃！,
1487,,,,
1488,ボルテックス,ほとばしる雷撃で敵を裂く。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:2】,の咆哮と共に雷撃がほとばしる！,
1489,詠唱・雷4,,の魔法攻撃！,
1490,シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
1491,震える,,は震えている。,
1492,ライフル攻撃,,の攻撃！,
1493,大悶絶ストライク,目からビームで敵全体を焼き払う,は大悶絶ストライクを放った！,
1494,,,,
1495,ﾊﾞｰｻｸ･ｱｯﾌﾟﾃﾞｰﾄ,味方全員の攻撃力を少し強化する。
,のﾊﾞｰｻｸ･ｱｯﾌﾟﾃﾞｰﾄ！,
1496,ツメテーナ・Lv4,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,の魔法攻撃！,
1497,ツメテーナ・Lv4,,はツメテーナ・Lv4を唱えた！,
1498,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1499,,,,
1500,放電,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,は放電した！,
1501,ツメテーナ・Lv4,,,
1502,,,,
1503,フラッシュ,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,のデンジフラッシュ！,
1504,ツメテーナ・Lv4,,,
1505,,,,
1506,詠唱・雷4,,の魔法攻撃！,
1507,シビレーナ・Lv4,,はシビレーナ・Lv4を唱えた！,
1508,ウルシーラ,,はウルシーラを唱えた！,
1509,,,,
1510,連続突き,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1511,ホモビ・カリバー,究極の一撃で敵一体を粛正する。
\C[21]【ｸｰﾙﾀｲﾑ:6】,はホモビ・カリバーを放った！,
1512,,,,
1513,攻撃刀,敵単体にダメージを与える。
(会心対応),の攻撃！,
1514,かまいたち,敵単体にダメージを与える。
(会心対応),はカマイタチを放った！,
1515,かまいたち,聖なる十字架を掲げ 敵全体に光の奔流
防御力無視の攻撃 \C[21]【ｸｰﾙﾀｲﾑ:1】,,
1516,炎の息,敵単体にダメージを与える。
(会心対応),のボンファイアー！,
1517,,,,
1518,グラトニーレイン,,のグラトニーレイン！,
1519,レイン,聖なる十字架を掲げ 敵全体に光の奔流
防御力無視の攻撃 \C[21]【ｸｰﾙﾀｲﾑ:1】,,
1520,,,,
1521,グラトニーレイン,,のグラトニーレイン！,
1522,レイン,聖なる十字架を掲げ 敵全体に光の奔流
防御力無視の攻撃 \C[21]【ｸｰﾙﾀｲﾑ:1】,,
1523,,,,
1524,切身攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1525,グラトニーレインシミュ,,のグラトニーレイン！,
1526,レイン,聖なる十字架を掲げ 敵全体に光の奔流
防御力無視の攻撃 \C[21]【ｸｰﾙﾀｲﾑ:1】,,
1527,,,,
1528,おちちんフラッシュ敵,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,のおちちんフラッシュ！,
1529,おちちんフラッシュ敵,,,
1530,,,,
1531,おちちんフラッシュ,神々しい発光でダメージを与える。
【魔:\I[6142]】【目潰し付与(40%)】\C[21]【ｸｰﾙﾀｲﾑ:3】,のおちちんフラッシュ！,
1532,おちちんフラッシュ,,,
1533,,,,
1534,握り潰し,敵単体にダメージを与える。
(会心対応),の攻撃！,
1535,,,,
1536,,,,
1537,岩石→痛恨,敵単体にダメージを与える。
(会心対応),はガレキを投げつけてきた！,
1538,攻撃銃器,敵単体にダメージを与える。
(会心対応),の攻撃！,
1539,,,,
1540,バフキエール,,はバフキエールを放った！,
1541,ジェネシス,,のマイドニックジェネシス！,
1542,ジェネシス,,「殺ス殺ス殺ス！！！！,
1543,睡眠,,の呪念の瞳！,
1544,,,,
1545,瘴気,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の闇の瘴気が暴発する！,
1546,乱れ切り,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は乱れ斬った！,
1547,,,,
1548,,,,
1549,ジェネシス,,のマイドニックジェネシス！,
1550,ジェネシス,,「殺ス殺ス殺ス！！！！,
1551,瘴気→CHARGE,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の闇の瘴気が暴発する！,
1552,充電,身を守りながらランダムで5発ライフルを乱射する。
\C[21]【ｸｰﾙﾀｲﾑ:1】,は急速充電した！,
1553,,,,
1554,岩石→痛恨,敵単体にダメージを与える。
(会心対応),はガレキを投げつけてきた！,
1555,絶叫→スパーク,,は凄まじい咆哮を放った！,
1556,雷撃全体,拡散弾で敵全体を攻撃。確率で怯ませる。
\C[21]【ｸｰﾙﾀｲﾑ:1】,の咆哮と共に雷撃がほとばしる！,
1557,,,,
1558,マイドニックレイ連射,敵単体にダメージを与える。
(会心対応),はﾏｲﾄﾞﾆｯｸﾚｲ・ﾀﾞﾌﾞﾙを放った！,
1559,イビルレインミサイル,敵単体にダメージを与える。
(会心対応),はイビルレインミサイルを放った！,
1560,,,,
1561,ジェラルシビレーナ,冷気の魔法で 敵全体に氷の刃
確率で 凍結させる,はシビレーナ・Lv4を唱えた！,
1562,ジェラルシビレーナ2,,,
1563,かまいたち,敵単体にダメージを与える。
(会心対応),はカマイタチを放った！,
1564,かまいたち,聖なる十字架を掲げ 敵全体に光の奔流
防御力無視の攻撃 \C[21]【ｸｰﾙﾀｲﾑ:1】,,
1565,,,,
1566,たおした！,,をたおした！,
1567,,,,
1568,ギュルンミス,,,
1569,ギュルンヒット,,,
1570,ウルシーラ,,はウルシーラを唱えた！,
1571,本命ガン堀ミサイル,,は一斉にミサイルを放った！,
1572,,,,
1573,マイドニックレーザー,,のマイドニックレーザー！,
1574,テストカリバー,究極の一撃で敵一体を粛正する。
\C[21]【ｸｰﾙﾀｲﾑ:6】,の攻撃！,
1575,テストカリバー,究極の一撃で敵一体を粛正する。
\C[21]【ｸｰﾙﾀｲﾑ:6】,連続行動テスト,
1576,5000D,,5000 Damage Over!! + 2000 Score,
1577,5000D,,10000 Damage Over!! + 2000 Score,
1578,5000D,,12500 Damage Over!! + 2000 Score,
1579,5000D,,15000 Damage Over!! + 4000 Score,\C[6]Excellent!!
1580,通常スコア,,計測完了！,\C[6]\{SCORE 【 \V[340] 】
1581,5000オーバースコア,,\V[682] Damage Over!,
1582,スピードクリア,,\C[6]1turn Kill!! + 10000 Score,
1583,段位試練開始,,\C[6]計測開始！,
1584,リロード,APPを15チャージし、次のターンの攻撃力が
大きく上昇する。\C[21]【ｸｰﾙﾀｲﾑ:1】,はリロードした！,
1585,,,,
1586,ギュルン！！,当たれば そのターンの間 相手の 防御力が 0になる
確定会心【先制発動】 ,の狙いすました一撃！,
1587,ギュルン！！,当たれば そのターンの間 相手の 防御力が 0になる
確定会心【先制発動】 ,の狙いすました一撃！,オルスアポロの効果で命中率が上昇！
1588,ギュルンヒット,,,
1589,ツァーリ自爆２,,は自爆した！,
1590,ギュルンミス,,,
1591,SPｽｷﾙ【ﾗﾝｼﾞｪﾘｰﾊﾞﾘｱ】,味方全員に防御状態、物理ダメージ20%軽減付与
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:6】,のランジェリーバリア！,
1592,SPｽｷﾙ【ｾｰﾌﾃｨｰｷｯﾁﾝ】,ｱﾗｻｰｸｯｷﾝｸﾞで必ずパンケーキのようなものが完成する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:5】 ,のセーフティーキッチン！,
1593,SPｽｷﾙ【ｻﾞｸﾛ･ｻﾞ･ｸﾛｰﾝ】,分裂し 最大で4回行動になるが 増えるほど弱体化。
【即発動】,,
1594,SPｽｷﾙ【煽の型･追誘欺】,敵から狙われやすくなり、断罪剣の構えを取る。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:2】 ,,
1595,ｻﾞｸﾛ･ｻﾞ･ｸﾛｰﾝ,分裂し、行動回数が増加する。
最大で四回行動になるが、増えるほど弱体化。【後攻発動】,のザクロ・ザ・クローン！,
1596,増殖1,,が二人になった！,
1597,増殖2,,が三人になった！,
1598,増殖3,,が四人になった！,ざくろは最大人数まで増殖した！
1599,ｾｰﾌﾃｨｰｷｯﾁﾝ,アラサークッキングに悪い効果が出なくなる。
ターンを消費せず 即発動する。\C[21]【ｸｰﾙﾀｲﾑ:4】 ,,
1600,ｾｰﾌﾃｨｰｷｯﾁﾝ,アラサークッキングに悪い効果が出なくなる。
ターンを消費せず 即発動する。\C[21]【ｸｰﾙﾀｲﾑ:4】 ,,
1601,煽の型･追誘欺,敵から狙われやすくなり、断罪剣の構えを取る。
【即発動】,の煽の型･追誘欺！,
1602,SPｽｷﾙ【ツボツーク】,使用者の会心率を上昇させる。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:3】 ,はツボツークを唱えた！,
1603,SPｽｷﾙ【カエシタラー】,味方一人をカウンター状態にする。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:3】 ,はカエシタラーを唱えた！,
1604,SPｽｷﾙ【アタランテ】,味方一人の回避率を強化する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:3】 ,はアタランテを唱えた！,
1605,SPｽｷﾙ【マナフィールド】,味方全体にMP自動回復効果を付与。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:3】 ,はマナフィールドを唱えた！,
1606,,,,
1607,SPｽｷﾙ【ラピッドキュア】,味方全体の体力を100回復する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:2】 ,はラピッドキュアを唱えた！,
1608,SPｽｷﾙ【ﾊﾞｰｻｸｽｲｯﾁ】,味方全体の攻撃力を 1段階 強化する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:10】 ,はバーサクスイッチを発動！,
1609,SPｽｷﾙ【ﾌﾟﾛﾃｸｽｲｯﾁ】,味方全体の防御力を 1段階 強化する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:10】 ,はプロテクスイッチを発動！,
1610,SPｽｷﾙ【エントロピー】,味方一人を完全回復で蘇生する。
【即発動】\C[21]【ｸｰﾙﾀｲﾑ:20】,はエントロピーを発動！,
1611,SPｽｷﾙ【アポカリプス】,マジ覚状態で発動できる奥義。発動時 完全耐性付与
【即発動】【発動APP固定】\C[21]【ｸｰﾙﾀｲﾑ:99】,ア　ポ　カ　リ　プ　ス　発　動　！　！,
1612,マジ覚解除,,,
1613,,,,
1614,即席錬成術,素材を消費して アイテムを生成する。
移動中に 使用できる。,,
1615,,,,
1616,A発動,,,
1617,B発動,,,
1618,C発動,,,
1619,,,,
1620,ゼッピンマキナ,妨害電磁波でロボット系のエネミーに大ダメージ。
確率で故障付与,はゼッピンマキナを放った！,
1621,ゼッピンバランガ,若干使える氷の魔法とラーメンで攻撃。
故障状態の敵に大ダメージ。,はゼッピンバランガを放った！,
1622,,,,
1623,分岐チェイン,,,
1624,,,,
1625,カエダマドボン,ラーメンを使い敵一体に攻撃。確率で怯ませる。
,はゼッピンドボンを放った！,
1626,BA追加ダメージ,ラーメンを使い敵一体に攻撃。確率で怯ませる。
,の怒りの追撃！,
1627,カエダマバランガ,若干使える氷の魔法とラーメンで攻撃。
故障状態の敵に大ダメージ。,はニトロバランガを放った！,
1628,BC追加ダメージ,ラーメンを使い敵一体に攻撃。確率で怯ませる。
,の怒りの追撃！,
1629,,,,
1630,ニトロドボン,ラーメンを使い敵一体に攻撃。確率で怯ませる。
,はニトロドボンを放った！,
1631,ニトロマキナ,妨害電磁波でロボット系のエネミーに大ダメージ。
確率で故障付与,はニトロマキナを放った！,
1632,,,,
1633,ゼッピンアップル,味方全員に自動HP回復の能力を付与する。,ﾌｨﾌﾃｨｰﾝ・ｱｯﾌﾟﾙの効果が変化！,
1634,ニトロアップル,味方全員に自動HP回復の能力を付与する。,ﾌｨﾌﾃｨｰﾝ・ｱｯﾌﾟﾙの効果が変化！,
1635,,,,
1636,強ゼッピンドボン,ラーメンを使い敵一体に攻撃。確率で怯ませる。
,ゼッピンドボンの威力が上昇！,
1637,強カエダマキナ,妨害電磁波でロボット系のエネミーに大ダメージ。
確率で故障付与,カエダマキナの威力が上昇！,
1638,強ニトロバランガ,氷魔法で敵を攻撃。
故障状態の敵に大ダメージ。,ニトロバランガの威力が上昇！,
1639,,,,
1640,3段目スタンバイ,,,
1641,3段目スタンバイ,,,
1642,マスカレイドカッター,\C[3]【\C[14]CHAIN\C[3]】\C[0]氷の刃で敵全体を斬り刻む最終奥義。
【物:\I[6120]】\C[21]【ｸｰﾙﾀｲﾑ:3】,氷虎のマスカレイド・カッター！！,
1643,クールタイム,,チェイン効果発動！,前線メンバーのクールタイムが 1減少！
1644,,,,
1645,リダクションカッター,\C[3]【\C[14]CHAIN\C[3]】\C[0]威力が上昇し、全体のｸｰﾙﾀｲﾑが1ターン減少
【物:\I[6120]】\C[21]【ｸｰﾙﾀｲﾑ:3】,のリダクション・カッター！！,
1646,,,,
1647,強ゼッピンドボン,ゼッピンドボンを連続で発動した際、
二発目の威力が上昇する。,,
1648,強カエダマキナ,カエダマキナを連続で発動した際、
二発目の威力が上昇する。,,
1649,強ニトロバランガ,ニトロバランガを連続で発動した際、
二発目の威力が上昇する。,,
1650,ゼッピンマキナ,ゼッピンドボン→カエダマキナ発動で効果が変化。
高確率で故障付与。,,
1651,ゼッピンバランガ,ゼッピンドボン→ニトロバランガ発動で効果が変化。
高確率で凍結付与。,,
1652,カエダマドボン,カエダマキナ→ゼッピンドボン発動で効果が変化。
200固定ダメージの追撃後、攻撃が二段階上昇。,,
1653,カエダマバランガ,カエダマキナ→ニトロバランガ発動で効果が変化。
400固定ダメージの追撃後、攻撃が一段階上昇。,,
1654,ニトロドボン,ニトロバランガ→ゼッピンドボン発動で効果が変化。
2ターン相手の被ダメージを1.5倍にする。,,
1655,ニトロマキナ,ニトロバランガ→カエダマキナ発動で効果が変化。
2ターン相手の防御力を0にする。,,
1656,ゼッピンアップル,ゼッピンドボン→ﾌｨﾌﾃｨｰﾝ･ｱｯﾌﾟﾙ発動で効果が変化。
HP自動回復に加え、味方全員のHPを40%回復。,,
1657,ニトロアップル,ニトロバランガ→ﾌｨﾌﾃｨｰﾝ･ｱｯﾌﾟﾙ発動で効果が変化。
HP自動回復に加え、味方全員のMPを25%回復。,,
1658,リダクション・カッター,強ゼッピンドボン→バリバリカッター発動で効果が変化。
威力が上昇し、味方全員のｸｰﾙﾀｲﾑを1ターン減少させる。,,
1659,マスカレイド・カッター,強ニトロバランガ→バリバリカッター発動で効果が変化。
氷の刃で敵全体を斬り刻む最終奥義。,,
1660,,,,
1661,ラミア攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1662,ポイズン,,は毒をぶちまけた！！,
1663,,,,
1664,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1665,睡眠,,の呪念の瞳！,
1666,,,,
1667,パイロハリケーン,,はパイロハリケーンを放った！,
1668,リブロキュラス,敵単体にダメージを与える。
(会心対応),はリブロキュラスを唱えた！,ピンチの沼に 死の閃光！
1669,,,,
1670,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1671,ラミア攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1672,,,,
1673,モロモロイ,敵全体の防御力を下げる。,はモロモロイを唱えた！,
1674,パイロハリケーン,,はパイロハリケーンを放った！,
1675,,,,
1676,モロモロイ,敵全体の防御力を下げる。,はモロモロイを唱えた！,
1677,パイロハリケーン,,はパイロハリケーンを放った！,
1678,,,,
1679,追撃魔法,,\C[6]20% 追撃スキル発動！,
1680,パイロハリケーン,,はパイロハリケーンを放った！,
1681,,,,
1682,ジェルカCSバーサク1,,コマンダースキル発動！,
1683,,,,
1684,連続噛み,敵単体にダメージを与える。
(会心対応),は暴れ狂った！,
1685,ラミア攻撃,敵単体にダメージを与える。
(会心対応),の攻撃！,
1686,,,,
1687,握り潰し,敵単体にダメージを与える。
(会心対応),の攻撃！,
1688,岩石→痛恨,敵単体にダメージを与える。
(会心対応),はガレキを投げつけてきた！,
1689,,,,
1690,瘴気→CHARGE,拡散弾で敵全体を攻撃。確率で怯ませる。
